SampleID	Desulfatiglans	AqS1	Sva0081_sediment_group	Nitrosopumilaceae	EPR3968-O8a-Bc78	BD2-11_terrestrial_group	NB1-j	Spirochaeta	SAR324_clade_Marine_group_B_	Calditrichaceae	SEEP-SRB1	Lokiarchaeia	bacteriap25	Bathyarchaeia	SBR1031	Desulfobacca	MBNT15	Woeseia	Marine_Benthic_Group_D_and_DHVEG-1	BD7-8	Candidatus_Thiobios	Bauldia	GIF3	Bacteroidetes_BD2-2	Candidatus_Tenderia	SG8-4	Latescibacteraceae	Subgroup_22	Zixibacteria	SAR202_clade	Dehalococcoidia	Pelagibius	Desulfatitalea	Pseudolabrys	Ignavibacterium	Amphiplicatus	t0.6.f	661239	Thiohalobacter	Kineosporia	Vicinamibacteraceae	Sva0485	vadinBA26	Subgroup_23	PHOS-HE36	B2M28	Calorithrix	Entotheonellaceae	Urania-1B-19_marine_sediment_group	MND1	Marine_Group_III	Desulfosarcina	BD7-11	JTB23	SB-5	CI75cm.2.12	Latescibacterota	67-14	CCM11a	Sediminispirochaeta	Oricola	BD1-7_clade	KI89A_clade	Brevundimonas	RCP2-54	Aminicenantales	Luteitalea	Rhodomicrobium	FW22	VHS-B3-70
S6A07	10178	6312	5963	4418	2665	3190	2096	1287	829	2462	588	543	238	212	688	249	57	461	558	844	312	637	573	1150	230	623	269	545	336	406	5	0	265	155	10	17	17	30	762	11	77	49	144	122	24	205	89	37	36	5	75	13	142	151	74	8	28	190	35	9	68	53	22	18	18	62	61	35	38	17
S6A1522	6193	4322	3387	2982	2744	4690	2038	938	853	2867	399	792	216	106	602	59	64	354	416	419	259	659	437	1034	29	197	432	86	438	326	24	17	84	119	44	7	202	134	379	19	56	64	163	149	145	20	22	134	0	8	370	83	143	29	81	14	21	7	11	6	11	9	13	4	12	48	45	16	0	9
S6A3040	8999	8179	5375	5695	2993	1663	1285	1628	1452	734	740	1114	123	152	546	1450	113	672	330	275	467	617	484	191	29	236	451	42	123	246	58	271	52	193	166	0	119	407	123	2	176	94	144	293	17	15	23	122	0	12	261	63	133	7	34	3	86	13	0	15	0	48	66	23	4	36	12	37	0	25
S6B07	14405	11648	8189	8290	2384	3175	1794	2928	1617	1108	965	1128	230	420	403	607	182	865	792	1413	869	448	482	393	288	892	256	1020	296	230	11	5	202	261	0	24	0	27	657	0	146	69	118	156	9	128	7	6	28	0	10	17	81	248	183	0	5	64	122	0	40	0	96	8	30	72	20	45	175	40
S6B1522	9481	7143	5765	4867	1659	4857	1731	1743	1114	2368	484	1420	191	114	797	9	111	589	776	640	486	902	528	176	133	179	278	119	258	184	9	7	240	160	30	14	38	73	531	11	68	39	90	88	73	0	18	62	30	10	227	13	128	78	38	16	29	36	10	48	71	11	34	6	13	35	23	43	3	29
S6B3040	7632	6424	4383	4022	2652	2739	1672	1395	1071	1880	574	823	189	243	504	91	146	546	474	566	359	604	443	617	69	235	213	135	217	121	9	231	94	186	89	11	41	103	381	11	96	91	203	113	56	3	9	196	22	0	182	59	134	50	181	0	11	21	0	22	10	36	34	18	68	32	25	42	2	22
S7A07	9207	5638	5092	4021	2252	2442	2167	1751	839	780	681	351	250	927	173	65	80	421	522	2151	323	358	623	160	662	572	147	478	200	154	44	0	139	232	0	30	5	22	283	150	149	46	90	87	120	1393	145	10	39	8	2	13	68	86	164	19	8	58	3	24	5	6	84	4	11	37	22	25	44	15
S7A1522	5132	3569	3822	2438	3825	4324	2193	736	555	1924	403	751	60	234	549	405	135	342	417	393	183	414	569	428	67	341	436	43	130	84	80	64	59	116	161	4	146	89	450	0	90	113	171	164	177	6	166	193	14	28	63	39	236	35	0	21	52	71	20	21	35	71	16	4	105	16	33	18	0	9
S7A3040	7547	5605	4373	3895	4912	3284	2842	1275	1030	1474	920	2167	132	338	413	1412	113	373	714	454	293	982	487	314	104	477	589	107	251	111	178	170	88	138	225	0	163	337	127	6	85	392	210	133	80	24	111	182	29	48	181	129	203	38	18	32	130	7	72	20	9	67	27	9	51	34	23	28	5	36
S7A5060	2363	1645	1469	1175	1279	574	656	324	250	342	160	584	238	206	739	1187	289	129	194	16	87	366	108	151	24	144	189	17	37	10	17	181	32	31	31	0	31	96	37	2	60	39	52	28	53	14	24	19	6	17	5	44	7	2	0	15	64	14	96	13	0	23	8	2	0	5	0	12	3	0
S7B07	7318	5563	3954	3025	1434	2103	1494	1383	609	502	423	537	201	452	290	86	70	394	262	1059	297	225	302	93	300	374	151	394	138	75	0	0	47	175	2	3	0	0	218	63	120	0	25	79	18	381	94	2	8	0	0	16	31	52	147	11	12	96	20	0	23	0	39	0	28	18	35	18	68	15
S7B1522	7332	4755	4826	3102	2350	4099	2056	1401	815	1501	451	669	107	294	749	296	138	374	498	1086	310	379	442	273	243	407	315	319	188	529	10	11	157	147	110	4	56	89	535	42	190	43	101	109	107	266	318	51	11	19	80	38	104	62	74	35	15	92	18	22	74	52	20	5	23	29	37	9	43	18
S7B3040	10580	9795	6456	6867	3647	4427	1631	1932	1710	1596	766	1770	130	270	663	1035	200	645	557	671	433	816	571	212	126	284	476	83	252	167	165	47	119	265	139	0	91	102	201	15	178	144	42	198	19	142	49	33	10	15	65	50	270	25	22	12	57	8	13	8	21	69	70	27	14	62	3	61	12	51
S7B5060	8884	7870	5167	5554	2561	1818	925	1376	1346	918	730	965	104	285	747	1332	564	614	281	258	368	803	342	206	54	231	318	72	258	122	31	72	103	202	81	0	41	131	134	5	147	70	76	114	53	26	46	40	13	6	21	41	86	37	20	13	88	31	125	3	5	41	54	13	21	26	0	25	15	29
zr2502_11_R1	32	438	130	0	256	74	126	13	0	76	72	0	24	74	19	0	0	30	11	33	0	0	30	0	39	0	0	0	94	0	0	0	35	0	0	0	0	0	0	0	0	14	0	0	0	60	0	0	0	0	19	0	0	0	0	16	7	0	0	0	0	0	0	0	0	0	0	0	0	0
zr2502_12_R1	192	1450	37	0	100	24	154	125	30	56	106	102	145	115	187	72	0	12	87	0	0	20	33	68	29	0	0	0	7	0	0	0	38	0	30	30	27	0	36	0	60	0	15	0	0	25	0	0	0	55	0	12	0	0	0	7	24	0	0	0	18	0	0	0	0	0	0	0	4	0
zr2502_13_R1	128	784	36	0	294	62	155	42	22	51	35	155	0	96	0	54	0	0	0	13	0	0	7	37	0	129	0	0	48	0	0	0	31	0	0	28	0	0	36	0	0	0	39	0	0	0	0	0	0	0	0	13	22	14	0	0	8	0	0	8	0	0	0	59	8	0	0	0	0	0
