sample1,sample2,bMNTD,BC,bNTI,RC,process,grupo
S2A5060,S1A015,0.06235731195195798,0.722758147193285,11.233608002743823,1,Heterogeneous.Selection,All interiors (pooled)
S2A515,S1A015,0.07579309915246156,0.7652518270951236,13.15656067117272,1,Heterogeneous.Selection,All interiors (pooled)
S2B07,S1A015,0.03214667275646024,0.6068289827520946,5.1631041165349,0.91991991991992,Heterogeneous.Selection,All interiors (pooled)
S2B1522,S1A015,0.07835253443953116,0.7935047436063257,12.44314475046758,1,Heterogeneous.Selection,All interiors (pooled)
S2B3040,S1A015,0.0732120396424151,0.7854119296335761,5.470641237486208,1,Heterogeneous.Selection,All interiors (pooled)
S2B5565,S1A015,0.11288873628231777,0.7538254330214132,21.942983928397854,1,Heterogeneous.Selection,All interiors (pooled)
S3A07,S1A015,0.0472515081941836,0.714922755144243,7.756754173368079,1,Heterogeneous.Selection,All interiors (pooled)
S3A1522,S1A015,0.11662964472674883,0.7679427560028457,11.455264143418178,1,Heterogeneous.Selection,All interiors (pooled)
S3A3040,S1A015,0.0933960611012783,0.7515864912587241,12.969234853961503,1,Heterogeneous.Selection,All interiors (pooled)
S3A6070,S1A015,0.1948725160226815,0.7878897874354993,18.71630767601333,0.6036036036036037,Heterogeneous.Selection,All interiors (pooled)
S3B2030,S1A015,0.11855891478961333,0.7636292874319274,18.03978624596233,1,Heterogeneous.Selection,All interiors (pooled)
S3B3545,S1A015,0.10449214151567982,0.7610389519300677,13.704680574317674,1,Heterogeneous.Selection,All interiors (pooled)
S3B515,S1A015,0.09091695173322967,0.7529855595420779,14.045879646282133,1,Heterogeneous.Selection,All interiors (pooled)
S3B6070,S1A015,0.07729540412731432,0.7813472431121017,11.310006393079409,1,Heterogeneous.Selection,All interiors (pooled)
S4B07,S1A015,0.010271200686773728,0.4531662480051941,2.375821292830734,-0.8458458458458459,Heterogeneous.Selection,All interiors (pooled)
S4B1522,S1A015,0.023578520356740004,0.5797038134558706,4.900893826454221,0.8258258258258258,Heterogeneous.Selection,All interiors (pooled)
S4B3040,S1A015,0.04028150603609189,0.6703442351162825,9.295386800039255,1,Heterogeneous.Selection,All interiors (pooled)
S4B5565,S1A015,0.04172280203136206,0.6683208325974178,10.882779311896737,1,Heterogeneous.Selection,All interiors (pooled)
S5A07,S1A015,0.006340448363290637,0.5454098348288141,0.47272876556334037,-0.2172172172172172,Undominated,All interiors (pooled)
S5A1522,S1A015,0.005384714689297871,0.4842359144732361,-1.969955221616003,-0.6356356356356356,Undominated,All interiors (pooled)
S5A3040,S1A015,0.013500202129790254,0.5209849778060519,3.705278997259477,0.067067067067067,Heterogeneous.Selection,All interiors (pooled)
S5A5565,S1A015,0.06363879759877761,0.7106525767647166,9.897973463731706,1,Heterogeneous.Selection,All interiors (pooled)
S5B07,S1A015,0.008326588933394781,0.4864455086814552,-0.1371055835099095,-0.4814814814814815,Undominated,All interiors (pooled)
S5B1522,S1A015,0.01755336929084067,0.5245865069869763,3.9364978291037227,0.03703703703703698,Heterogeneous.Selection,All interiors (pooled)
S5B3040,S1A015,0.03700625612793273,0.6782663716900195,9.31596704893981,1,Heterogeneous.Selection,All interiors (pooled)
S5B5060,S1A015,0.06733675715311761,0.7828420588597572,10.569188168001943,1,Heterogeneous.Selection,All interiors (pooled)
S6A07,S1A015,0.02881179093563966,0.6864186341669294,-3.596479740769131,1,Homogeneous.Selection,All interiors (pooled)
S6A1522,S1A015,0.0434667905543861,0.743379837320869,-1.1337749881536903,1,Dispersal.Limitation,All interiors (pooled)
S6A3040,S1A015,0.05413283880711847,0.7311955883934872,2.0755788989033874,1,Heterogeneous.Selection,All interiors (pooled)
S6B07,S1A015,0.030516507159636032,0.707570504715126,-3.2450169635505928,0.95995995995996,Homogeneous.Selection,All interiors (pooled)
S6B1522,S1A015,0.03581891246411935,0.7079528679130901,-2.5282919875554573,1,Homogeneous.Selection,All interiors (pooled)
S6B3040,S1A015,0.04117827380371544,0.7006059042707808,0.09768434542196715,1,Dispersal.Limitation,All interiors (pooled)
S7A07,S1A015,0.020060585978987074,0.6358201702928987,-3.2129206172717812,0.9939939939939939,Homogeneous.Selection,All interiors (pooled)
S7A1522,S1A015,0.04566134395659846,0.7570094704086662,0.13336623656918728,1,Dispersal.Limitation,All interiors (pooled)
S7A3040,S1A015,0.052453790568999084,0.7505610516748369,1.4933104401616037,1,Dispersal.Limitation,All interiors (pooled)
S7A5060,S1A015,0.07960332710887723,0.7817616467779803,5.357043480587203,1,Heterogeneous.Selection,All interiors (pooled)
S7B07,S1A015,0.020846952745736037,0.6295458022915907,-3.7300195874754203,0.8318318318318318,Homogeneous.Selection,All interiors (pooled)
S7B1522,S1A015,0.026422838072093044,0.6602959117720827,-2.124380036356384,1,Homogeneous.Selection,All interiors (pooled)
S7B3040,S1A015,0.03037330905607908,0.6885839011510217,-1.336168883648022,1,Dispersal.Limitation,All interiors (pooled)
S7B5060,S1A015,0.04198563337755906,0.7105047495370254,1.373837214307186,1,Dispersal.Limitation,All interiors (pooled)
S1A3050,S1A1530,0.002384396937726877,0.3100399100337621,1.9183792091316247,-1,Homogenizing.Dispersal,All interiors (pooled)
S1A5075,S1A1530,0.004776755998572938,0.37133605130208075,2.2372578586568945,-0.4674674674674675,Heterogeneous.Selection,All interiors (pooled)
S1B07,S1A1530,0.008421755886847019,0.6090195344237525,-2.2395026105654443,1,Homogeneous.Selection,All interiors (pooled)
S1B2230,S1A1530,0.032658178446447486,0.6887951126636929,4.970560987701541,1,Heterogeneous.Selection,All interiors (pooled)
