SampleID	Collection_date	depth	ID	Environmental_medium	Geographic.Location	Study_zone	Ecological_type	season	Mangrove_system	Mangrove_type	Depths	sample_id_original	sample_id_clean	network_group	network_dataset	network_label	network_system	network_zone	depth_class_raw	depth_class	depth_raw
S5B07	2023-09-29	0-15	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Surface	S5B07	S5B07	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Surface	Surface	0-15
S5B1522	2023-09-29	16-30	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Mid	S5B1522	S5B1522	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Mid	Mid	16-30
S5B3040	2023-09-29	31-45	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Deep	S5B3040	S5B3040	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Deep	Deep	31-45
S5B5060	2023-09-29	50-70	S5B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Interior	Deep	S5B5060	S5B5060	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	San Pedro River	Rio San Pedro	Deep	Deep	50-70
S6A07	2023-09-30	0-15	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Surface	S6A07	S6A07	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Surface	Surface	0-15
S6A1522	2023-09-30	16-30	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Mid	S6A1522	S6A1522	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Mid	Mid	16-30
S6A3040	2023-09-30	31-45	S6A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep	S6A3040	S6A3040	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	31-45
S6B07	2023-09-30	0-15	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Surface	S6B07	S6B07	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Surface	Surface	0-15
S6B1522	2023-09-30	16-30	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Mid	S6B1522	S6B1522	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Mid	Mid	16-30
S6B3040	2023-09-30	31-45	S6B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep	S6B3040	S6B3040	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	31-45
