SampleID	q0	q1	q2	Collection_date	depth	ID	Environmental_medium	Geographic.Location	Study_zone	Ecological_type	season	Mangrove_system	Mangrove_type	Depths
45	S7A3040	1545	409.617199190108	142.516697883964	2023-09-30	31-45	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep
46	S7A5060	1233	358.944945214581	134.684792925403	2023-09-30	50-70	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep
47	S7B07	1174	303.079853330128	81.1769783681879	2023-09-30	0-15	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Surface
48	S7B1522	1597	455.60803037755	145.672607697402	2023-09-30	16-30	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Mid
49	S7B3040	1502	258.034751466795	67.9162928011068	2023-09-30	31-45	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep
50	S7B5060	1601	262.429032281183	62.4130124525367	2023-09-30	50-70	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep
51	zr2502_24_R1.fastq.gz	236	128.406984942601	81.5781338705923	17/01/2018	5	IA	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Surface
52	zr2502_25_R1.fastq.gz	174	92.3397073417215	46.1389600167848	17/01/2018	20	IA	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Mid
53	zr2502_26_R1.fastq.gz	288	113.506555428565	45.9414523849614	17/01/2018	40	IA	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Deep
54	zr2502_27_R1.fastq.gz	122	37.6743748287166	17.7156467264755	17/01/2018	5	IB	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Surface
55	zr2502_28_R1.fastq.gz	163	76.9283966397785	28.5035755008893	17/01/2018	20	IB	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Mid
56	zr2502_29_R1.fastq.gz	167	64.2711267749313	20.1336050632965	17/01/2018	40	IB	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Deep
57	zr2502_30_R1.fastq.gz	291	172.023200446604	108.931836908652	17/01/2018	5	IC	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Surface
58	zr2502_31_R1.fastq.gz	229	114.224580243465	52.2399212978178	17/01/2018	20	IC	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Mid
59	zr2502_32_R1.fastq.gz	266	137.183430174984	68.6135425491645	17/01/2018	40	IC	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Deep
