"ASV","Location","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"JN522076.1.1433","San Pedro River","d__Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031",NA
"JX504252.1.1535","San Pedro River","d__Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","unidentified_bacterium"
"GQ259293.1.1524","San Pedro River","d__Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Calditrichaceae","uncultured_bacterium"
"KJ590672.1.1476","San Pedro River","d__Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"HM061953.1.1467","San Pedro River","d__Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae",NA
"KX097206.1.1520","San Pedro River","d__Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j",NA
"GQ926431.1.925","San Pedro River","d__Archaea","Asgardarchaeota","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","uncultured_archaeon"
"DQ811802.1.1539","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081_sediment_group",NA
"EU488437.1.1469","San Pedro River","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured",NA
"KJ572428.1.1449","San Pedro River","d__Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"AF254399.1.1489","San Pedro River","d__Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Calorithrix","uncultured_bacterium"
"FJ748781.1.1509","San Pedro River","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1",NA
"AM889152.1.1514","San Pedro River","d__Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_23",NA
"KY241536.1.1522","San Pedro River","d__Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group",NA
"JN534265.1.1460","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans",NA
"KX097541.1.1539","San Pedro River","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota",NA
"JQ287329.1.1483","San Pedro River","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","uncultured","uncultured","uncultured_bacterium"
"FJ264664.1.1530","San Pedro River","d__Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","uncultured_bacterium"
"GU118250.1.1455","San Pedro River","d__Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA
"HQ691983.1.1504","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","SEEP-SRB1",NA
"EU734975.1.1513","San Pedro River","d__Bacteria","Nitrospirota","Thermodesulfovibrionia","uncultured","uncultured","uncultured",NA
"JN532024.1.1392","San Pedro River","d__Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sediminispirochaeta","uncultured_organism"
"EU330396.1.1509","San Pedro River","d__Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","uncultured",NA
"KC009884.1.1461","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","uncultured","uncultured_bacterium"
"JF727680.1.1511","San Pedro River","d__Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","Inmirania","uncultured_gamma"
"EU134433.1.1384","San Pedro River","d__Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j",NA
"DQ811804.1.1523","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","uncultured","uncultured_delta"
"FJ205240.1.1442","San Pedro River","d__Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19_marine_sediment_group",NA
"EF188431.1.1544","San Pedro River","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","37-13","uncultured_bacterium"
"AB806273.1.1461","San Pedro River","d__Bacteria","Fibrobacterota","Chitinivibrionia","uncultured","uncultured","uncultured","uncultured_bacterium"
