n_nodes	n_edges	density	average_degree	max_degree	components	largest_component_prop	transitivity	natural_connectivity	average_path_length_lcc	modularity_louvain	prop_positive_edges	mean_abs_weight	robustness_auc_random	robustness_auc_targeted	dataset	network_group	bootstrap_id	n_samples_group	n_subsample	edge_density_target	ridge_lambda
200	398	0.02	3.98	17	108	0.33	0.774141195563971	7.94195446175736	3.66013986013986	0.740221206535189	0.904522613065327	0.0336032766069965	0.13875	0.0605	depth_natural	Coastal_natural	79	13	13	0.02	0.1
200	398	0.02	3.98	14	62	0.615	0.614275414563807	5.27895728956841	4.4411568705851	0.770943284260499	0.836683417085427	0.0404770961470683	0.248375	0.101375	depth_natural	Coastal_natural	80	13	13	0.02	0.1
200	398	0.02	3.98	17	48	0.655	0.402710975076519	3.26120915992879	3.75913094539049	0.69250776495543	0.819095477386935	0.0414937873847096	0.247375	0.096875	depth_natural	Coastal_natural	81	13	13	0.02	0.1
200	398	0.02	3.98	15	73	0.58	0.550421585160202	5.47067320100303	3.9383808095952	0.70061362086816	0.758793969849246	0.0414404174579138	0.217	0.0995	depth_natural	Coastal_natural	82	13	13	0.02	0.1
200	398	0.02	3.98	33	93	0.52	0.487442673072723	7.7542431196982	2.88088125466766	0.56872301204515	0.660804020100503	0.0352639902992945	0.244	0.0555	depth_natural	Coastal_natural	83	13	13	0.02	0.1
200	398	0.02	3.98	29	71	0.56	0.50630187519213	5.57981080098646	3.66891891891892	0.740783061033812	0.874371859296482	0.041008311839346	0.20175	0.0595	depth_natural	Coastal_natural	84	13	13	0.02	0.1
200	398	0.02	3.98	22	61	0.66	0.386845039018952	3.90684831274839	3.58639833448994	0.671876972803717	0.741206030150754	0.0430977374577119	0.274	0.10525	depth_natural	Coastal_natural	85	13	13	0.02	0.1
200	398	0.02	3.98	16	81	0.515	0.627839065541856	5.55480124437606	3.89282314867695	0.74708656347062	0.816582914572864	0.0376356294132803	0.219625	0.072125	depth_natural	Coastal_natural	86	13	13	0.02	0.1
200	398	0.02	3.98	17	69	0.555	0.698700410396717	6.17213092832372	5.73513513513513	0.794784222620641	0.924623115577889	0.0412773407376725	0.148125	0.069375	depth_natural	Coastal_natural	87	13	13	0.02	0.1
200	398	0.02	3.98	22	79	0.525	0.621856866537718	5.88670660739917	4.05879120879121	0.726288477563698	0.876884422110553	0.0425803734819876	0.212125	0.079625	depth_natural	Coastal_natural	88	13	13	0.02	0.1
200	398	0.02	3.98	23	98	0.495	0.570149253731343	7.7400356933312	3.34343434343434	0.648048660387364	0.804020100502513	0.0350184567983012	0.207375	0.059125	depth_natural	Coastal_natural	89	13	13	0.02	0.1
200	398	0.02	3.98	20	69	0.645	0.606132879045997	5.40770258229359	4.68507751937984	0.766113860761092	0.881909547738693	0.0370481095756952	0.189875	0.051875	depth_natural	Coastal_natural	90	13	13	0.02	0.1
200	398	0.02	3.98	25	89	0.555	0.546987951807229	6.49519116186294	3.399180999181	0.638714931441125	0.763819095477387	0.0387007701431862	0.236375	0.077625	depth_natural	Coastal_natural	91	13	13	0.02	0.1
200	398	0.02	3.98	24	65	0.515	0.571428571428571	6.26088621956821	4.12640395964211	0.777249943183253	0.871859296482412	0.0411813351062348	0.194125	0.050375	depth_natural	Coastal_natural	92	13	13	0.02	0.1
200	398	0.02	3.98	20	83	0.555	0.493638676844784	5.92881926846429	3.45372645372645	0.634147496275347	0.680904522613065	0.0382039917870325	0.252125	0.083625	depth_natural	Coastal_natural	93	13	13	0.02	0.1
200	398	0.02	3.98	15	53	0.62	0.489867498051442	4.44200395844416	3.81549960660897	0.714650513875912	0.806532663316583	0.0424132807069078	0.25325	0.1	depth_natural	Coastal_natural	94	13	13	0.02	0.1
200	398	0.02	3.98	21	63	0.535	0.604048295454545	5.38495672697396	3.99823664256745	0.76304891290624	0.871859296482412	0.0354232015608285	0.208625	0.056125	depth_natural	Coastal_natural	95	13	13	0.02	0.1
200	398	0.02	3.98	15	66	0.58	0.514766355140187	4.95144449972738	3.96941529235382	0.719587257897528	0.791457286432161	0.0396751066135457	0.188	0.084	depth_natural	Coastal_natural	96	13	13	0.02	0.1
200	398	0.02	3.98	18	66	0.545	0.653537818055071	5.47822959898176	4.51732925586137	0.777508775030934	0.796482412060301	0.0367183067081975	0.175625	0.072125	depth_natural	Coastal_natural	97	13	13	0.02	0.1
200	398	0.02	3.98	14	54	0.615	0.641066454436928	4.97960764272878	4.66186858589897	0.779664654932956	0.841708542713568	0.0391712978539397	0.208375	0.118375	depth_natural	Coastal_natural	98	13	13	0.02	0.1
200	398	0.02	3.98	26	70	0.57	0.62308444734268	5.57994369146863	3.82611395746002	0.776410317921265	0.876884422110553	0.0416906186765775	0.179	0.08125	depth_natural	Coastal_natural	99	13	13	0.02	0.1
200	398	0.02	3.98	21	83	0.55	0.538729329852045	5.77794943321596	3.66071726438699	0.716178253074417	0.761306532663317	0.0371506688245861	0.21425	0.07625	depth_natural	Coastal_natural	100	13	13	0.02	0.1
200	398	0.02	3.98	14	46	0.665	0.438432040903281	3.66345303079072	4.21337434495329	0.730136233933487	0.801507537688442	0.0420787085246679	0.272625	0.089875	depth_natural	Coastal_natural	101	13	13	0.02	0.1
200	398	0.02	3.98	19	76	0.47	0.704441541476159	6.53234205473937	4.42598947609243	0.785804020100502	0.864321608040201	0.0326281379073881	0.183	0.0545	depth_natural	Coastal_natural	102	13	13	0.02	0.1
200	398	0.02	3.98	18	51	0.675	0.434952978056426	4.15573702718478	3.92681039248203	0.701563723138305	0.791457286432161	0.0419742734138887	0.279125	0.112375	depth_natural	Coastal_natural	103	13	13	0.02	0.1
200	398	0.02	3.98	18	89	0.49	0.725036179450072	7.03727750299049	4.12728802861351	0.761641120173733	0.879396984924623	0.038741341431109	0.16525	0.07875	depth_natural	Coastal_natural	104	13	13	0.02	0.1
