removal_fraction	largest_component_fraction_original_nodes	dataset	network_group	bootstrap_id	attack_mode
0.5	0.195	depth_natural	Coastal_natural	6	random
0.55	0.115	depth_natural	Coastal_natural	6	random
0.6	0.1	depth_natural	Coastal_natural	6	random
0.65	0.07	depth_natural	Coastal_natural	6	random
0.7	0.06	depth_natural	Coastal_natural	6	random
0.75	0.055	depth_natural	Coastal_natural	6	random
0.8	0.035	depth_natural	Coastal_natural	6	random
0.85	0.025	depth_natural	Coastal_natural	6	random
0.9	0.01	depth_natural	Coastal_natural	6	random
0.95	0.005	depth_natural	Coastal_natural	6	random
1	0	depth_natural	Coastal_natural	6	random
0	0.48	depth_natural	Coastal_natural	6	targeted
0.05	0.375	depth_natural	Coastal_natural	6	targeted
0.1	0.12	depth_natural	Coastal_natural	6	targeted
0.15	0.055	depth_natural	Coastal_natural	6	targeted
0.2	0.045	depth_natural	Coastal_natural	6	targeted
0.25	0.035	depth_natural	Coastal_natural	6	targeted
0.3	0.03	depth_natural	Coastal_natural	6	targeted
0.35	0.025	depth_natural	Coastal_natural	6	targeted
0.4	0.025	depth_natural	Coastal_natural	6	targeted
0.45	0.02	depth_natural	Coastal_natural	6	targeted
0.5	0.01	depth_natural	Coastal_natural	6	targeted
0.55	0.005	depth_natural	Coastal_natural	6	targeted
0.6	0.005	depth_natural	Coastal_natural	6	targeted
0.65	0.005	depth_natural	Coastal_natural	6	targeted
0.7	0.005	depth_natural	Coastal_natural	6	targeted
0.75	0.005	depth_natural	Coastal_natural	6	targeted
0.8	0.005	depth_natural	Coastal_natural	6	targeted
0.85	0.005	depth_natural	Coastal_natural	6	targeted
0.9	0.005	depth_natural	Coastal_natural	6	targeted
0.95	0.005	depth_natural	Coastal_natural	6	targeted
1	0	depth_natural	Coastal_natural	6	targeted
0	0.49	depth_natural	Coastal_natural	7	random
0.05	0.465	depth_natural	Coastal_natural	7	random
0.1	0.445	depth_natural	Coastal_natural	7	random
0.15	0.425	depth_natural	Coastal_natural	7	random
0.2	0.39	depth_natural	Coastal_natural	7	random
0.25	0.37	depth_natural	Coastal_natural	7	random
0.3	0.275	depth_natural	Coastal_natural	7	random
0.35	0.25	depth_natural	Coastal_natural	7	random
0.4	0.21	depth_natural	Coastal_natural	7	random
0.45	0.185	depth_natural	Coastal_natural	7	random
0.5	0.17	depth_natural	Coastal_natural	7	random
0.55	0.14	depth_natural	Coastal_natural	7	random
0.6	0.135	depth_natural	Coastal_natural	7	random
0.65	0.115	depth_natural	Coastal_natural	7	random
0.7	0.075	depth_natural	Coastal_natural	7	random
0.75	0.03	depth_natural	Coastal_natural	7	random
0.8	0.03	depth_natural	Coastal_natural	7	random
0.85	0.025	depth_natural	Coastal_natural	7	random
0.9	0.02	depth_natural	Coastal_natural	7	random
0.95	0.005	depth_natural	Coastal_natural	7	random
1	0	depth_natural	Coastal_natural	7	random
0	0.49	depth_natural	Coastal_natural	7	targeted
0.05	0.4	depth_natural	Coastal_natural	7	targeted
0.1	0.345	depth_natural	Coastal_natural	7	targeted
0.15	0.175	depth_natural	Coastal_natural	7	targeted
0.2	0.065	depth_natural	Coastal_natural	7	targeted
0.25	0.045	depth_natural	Coastal_natural	7	targeted
0.3	0.04	depth_natural	Coastal_natural	7	targeted
0.35	0.025	depth_natural	Coastal_natural	7	targeted
0.4	0.015	depth_natural	Coastal_natural	7	targeted
0.45	0.015	depth_natural	Coastal_natural	7	targeted
0.5	0.015	depth_natural	Coastal_natural	7	targeted
0.55	0.01	depth_natural	Coastal_natural	7	targeted
0.6	0.005	depth_natural	Coastal_natural	7	targeted
0.65	0.005	depth_natural	Coastal_natural	7	targeted
0.7	0.005	depth_natural	Coastal_natural	7	targeted
0.75	0.005	depth_natural	Coastal_natural	7	targeted
0.8	0.005	depth_natural	Coastal_natural	7	targeted
0.85	0.005	depth_natural	Coastal_natural	7	targeted
0.9	0.005	depth_natural	Coastal_natural	7	targeted
0.95	0.005	depth_natural	Coastal_natural	7	targeted
1	0	depth_natural	Coastal_natural	7	targeted
0	0.555	depth_natural	Coastal_natural	8	random
0.05	0.535	depth_natural	Coastal_natural	8	random
0.1	0.5	depth_natural	Coastal_natural	8	random
0.15	0.475	depth_natural	Coastal_natural	8	random
0.2	0.435	depth_natural	Coastal_natural	8	random
0.25	0.36	depth_natural	Coastal_natural	8	random
0.3	0.325	depth_natural	Coastal_natural	8	random
0.35	0.31	depth_natural	Coastal_natural	8	random
0.4	0.275	depth_natural	Coastal_natural	8	random
0.45	0.24	depth_natural	Coastal_natural	8	random
0.5	0.225	depth_natural	Coastal_natural	8	random
0.55	0.205	depth_natural	Coastal_natural	8	random
0.6	0.17	depth_natural	Coastal_natural	8	random
0.65	0.155	depth_natural	Coastal_natural	8	random
0.7	0.125	depth_natural	Coastal_natural	8	random
0.75	0.065	depth_natural	Coastal_natural	8	random
0.8	0.03	depth_natural	Coastal_natural	8	random
0.85	0.02	depth_natural	Coastal_natural	8	random
0.9	0.01	depth_natural	Coastal_natural	8	random
0.95	0.01	depth_natural	Coastal_natural	8	random
1	0	depth_natural	Coastal_natural	8	random
0	0.555	depth_natural	Coastal_natural	8	targeted
0.05	0.39	depth_natural	Coastal_natural	8	targeted
0.1	0.28	depth_natural	Coastal_natural	8	targeted
0.15	0.105	depth_natural	Coastal_natural	8	targeted
0.2	0.09	depth_natural	Coastal_natural	8	targeted
0.25	0.03	depth_natural	Coastal_natural	8	targeted
0.3	0.03	depth_natural	Coastal_natural	8	targeted
0.35	0.03	depth_natural	Coastal_natural	8	targeted
0.4	0.02	depth_natural	Coastal_natural	8	targeted
0.45	0.01	depth_natural	Coastal_natural	8	targeted
0.5	0.01	depth_natural	Coastal_natural	8	targeted
0.55	0.01	depth_natural	Coastal_natural	8	targeted
0.6	0.005	depth_natural	Coastal_natural	8	targeted
0.65	0.005	depth_natural	Coastal_natural	8	targeted
0.7	0.005	depth_natural	Coastal_natural	8	targeted
0.75	0.005	depth_natural	Coastal_natural	8	targeted
0.8	0.005	depth_natural	Coastal_natural	8	targeted
0.85	0.005	depth_natural	Coastal_natural	8	targeted
0.9	0.005	depth_natural	Coastal_natural	8	targeted
0.95	0.005	depth_natural	Coastal_natural	8	targeted
1	0	depth_natural	Coastal_natural	8	targeted
0	0.41	depth_natural	Coastal_natural	9	random
0.05	0.4	depth_natural	Coastal_natural	9	random
0.1	0.37	depth_natural	Coastal_natural	9	random
0.15	0.34	depth_natural	Coastal_natural	9	random
0.2	0.305	depth_natural	Coastal_natural	9	random
0.25	0.295	depth_natural	Coastal_natural	9	random
0.3	0.28	depth_natural	Coastal_natural	9	random
0.35	0.275	depth_natural	Coastal_natural	9	random
0.4	0.235	depth_natural	Coastal_natural	9	random
0.45	0.225	depth_natural	Coastal_natural	9	random
0.5	0.13	depth_natural	Coastal_natural	9	random
0.55	0.105	depth_natural	Coastal_natural	9	random
0.6	0.095	depth_natural	Coastal_natural	9	random
0.65	0.09	depth_natural	Coastal_natural	9	random
0.7	0.08	depth_natural	Coastal_natural	9	random
0.75	0.04	depth_natural	Coastal_natural	9	random
0.8	0.035	depth_natural	Coastal_natural	9	random
0.85	0.025	depth_natural	Coastal_natural	9	random
0.9	0.015	depth_natural	Coastal_natural	9	random
0.95	0.01	depth_natural	Coastal_natural	9	random
