id	SampleID	Collection_date	depth	ID	Environmental_medium	Geographic Location	Study_zone	Ecological_type	season
S7B3040	S7B3040	2023-09-30	31-45	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
S7B5060	S7B5060	2023-09-30	50-70	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood
zr2502_17_R1.fastq.gz	zr2502_17_R1	17/01/2018	20		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_18_R1.fastq.gz	zr2502_18_R1	17/01/2018	40		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_19_R1.fastq.gz	zr2502_19_R1	17/01/2018	20		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_4_R1.fastq.gz	zr2502_4_R1	17/01/2018	5		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_5_R1.fastq.gz	zr2502_5_R1	17/01/2018	5		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_20_R1.fastq.gz	zr2502_20_R1	17/01/2018	40		sediment	Mexico:Campeche	Estero_pargo	Basin	flood
zr2502_21_R1.fastq.gz	zr2502_21_R1	17/01/2018	5		sediment	Mexico:Campeche	Estero_pargo	Basin	flood
zr2502_22_R1.fastq.gz	zr2502_22_R1	17/01/2018	20		sediment	Mexico:Campeche	Estero_pargo	Basin	flood
zr2502_23_R1.fastq.gz	zr2502_23_R1	17/01/2018	40		sediment	Mexico:Campeche	Estero_pargo	Basin	flood
zr2502_40_R1.fastq.gz	zr2502_40_R1	30/05/2018	40		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_41_R1.fastq.gz	zr2502_41_R1	30/05/2018	20		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_42_R1.fastq.gz	zr2502_42_R1	30/05/2018	40		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_43_R1.fastq.gz	zr2502_43_R1	30/05/2018	5		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_44_R1.fastq.gz	zr2502_44_R1	30/05/2018	20		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_45_R1.fastq.gz	zr2502_45_R1	30/05/2018	40		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_8_R1.fastq.gz	zr2502_8_R1	30/05/2018	5		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_9_R1.fastq.gz	zr2502_9_R1	30/05/2018	20		sediment	Mexico:Campeche	Estero_pargo	Basin	dry
zr2502_10_R1.fastq.gz	zr2502_10_R1	30/05/2018	5		sediment	Mexico:Campeche	Estero_pargo	Basin	flood
zr2502_15_R1.fastq.gz	zr2502_15_R1	17/01/2018	20		sediment	Mexico:Campeche	Estero_pargo	Fringe	dry
zr2502_2_R1.fastq.gz	zr2502_2_R1	17/01/2018	5		sediment	Mexico:Campeche	Estero_pargo	Fringe	dry
zr2502_1_R1.fastq.gz	zr2502_1_R1	17/01/2018	5		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_11_R1.fastq.gz	zr2502_11_R1	17/01/2018	20		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_12_R1.fastq.gz	zr2502_12_R1	17/01/2018	40		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
