Phylum	Depth	mean_abundance_Fossil	mean_abundance_Miguelito	mean_abundance_Reforma	sd_abundance_Fossil	sd_abundance_Miguelito	sd_abundance_Reforma
LCP-89	0-15	0.0775701261444518	0.361064293270082	0.130935180423275	0.0539745373813795	0.245514014610614	0.0868298225008912
LCP-89	16-30	0.115999798118806	0.548655537178894	0.180384549751242	0.0445510253833552	0.266573069477922	0.0847924772123646
LCP-89	31-45	0.125096571080435	0.331522562122082	0.318764035375767	0.0228199638607563	0.11390614986008	0.138198961064372
LCP-89	50-75	0.241419064381927	0.408396658827125	0.453127304497879	0.114278363558579	0.188374395264104	0.140212797589
Latescibacterota	0-15	3.05506221988463	1.50504482914874	1.99439065185963	0.547366433425365	1.00416570455903	0.261787749362523
Latescibacterota	16-30	3.41706577614723	1.0271283122703	1.73788123889078	0.16337038383759	0.630292317646844	0.31852447749803
Latescibacterota	31-45	2.53367644671218	0.790676508164376	1.43686067315253	0.866272974246733	0.369618336411586	0.143737924773335
Latescibacterota	50-75	2.34523815925643	0.594437736655222	0.975750249213354	0.335475695590621	0.382191557876819	0.790889640311014
MBNT15	0-15	1.04122033669361	0.511455847254488	0.637105055247472	0.850102245514918	0.562288766364825	0.332092101741022
MBNT15	16-30	1.06036458909477	0.176853363294361	0.423221114433374	0.771663573453522	0.203208629692019	0.125674787291345
MBNT15	31-45	0.44494869192065	0.129001588690579	0.369705120872712	0.410772846684394	0.170880978733516	0.128686033986301
MBNT15	50-75	0.201589337851783	0.124629277395581	0.262169202252501	0.0636304047002514	0.189828177236768	0.202911624127244
Methylomirabilota	0-15	1.76974578398732	1.08770604485361	1.84479865974666	0.438122127482807	1.42857188638154	0.423471361573927
Methylomirabilota	16-30	1.26010157137504	0.685697583209803	2.39876202593758	0.355804561189815	0.966881091140866	0.708905544089074
Methylomirabilota	31-45	0.541910575779514	0.634884067161833	1.29370273299131	0.239491980622048	1.11384154959537	0.438960046948698
Methylomirabilota	50-75	0.274823800006573	0.583551791859341	0.682390526824198	0.160811305920745	1.13565689232781	0.460080411452249
Myxococcota	0-15	0.734821060997093	0.319344094589603	0.529903820510951	0.038583731408928	0.384992819847425	0.1800498592116
Myxococcota	16-30	0.353315379626768	0.263755310993462	0.570864276904098	0.086889573066969	0.251163368955735	0.134162228954662
Myxococcota	31-45	0.285523009721907	0.199565264528203	0.331432739764349	0.0662745115489572	0.193921759051945	0.12511869418147
Myxococcota	50-75	0.19269129963798	0.156385717080475	0.155270587992451	0.0403995643932605	0.117258482460893	0.0727517870580225
NB1-j	0-15	3.94585291242513	1.3099016294272	1.7811117986311	1.81659645824906	2.01762823115729	0.20563703462547
NB1-j	16-30	1.88934495943766	0.735691458431847	1.48189404226254	0.961783956354051	1.6179123578794	0.658912650635917
NB1-j	31-45	0.705460564534153	0.653762470569338	0.943076396003396	0.596818957309714	1.42476055186281	0.551539117086299
NB1-j	50-75	0.437942171188957	0.345463254269807	0.402976821008713	0.329742257597282	0.764537076216462	0.281371902964175
Nitrospirota	0-15	4.45919268706186	4.95467242190198	3.39147209171509	1.73184714794099	2.4199842486809	2.42982795849582
Nitrospirota	16-30	5.6147461396625	5.72755311255546	5.58466967592642	0.15850321034794	2.09716099851769	2.58932560728386
Nitrospirota	31-45	5.785712724093	3.89545497391824	4.98532211580459	0.269796190950898	0.735545080452594	0.865062765988402
Nitrospirota	50-75	5.9590902118591	4.14521272258442	5.56352952113759	1.88749783312169	1.74792670644284	2.07630074827334
Patescibacteria	0-15	0.665677450810061	0.352527893935996	0.491448523656467	0.268532470413071	0.24638776718984	0.226841832739315
Patescibacteria	16-30	0.82305314027872	0.541203357267566	0.29693079598053	0.0877946190031086	0.165482892494675	0.103827837456898
Patescibacteria	31-45	0.862059967055584	0.429400938132293	0.412442613601378	0.191745457623508	0.134514154110973	0.136402832125463
Patescibacteria	50-75	0.518959460909908	0.397101212953692	0.395458468780797	0.0411903902778099	0.0666498666914819	0.125333293612649
Planctomycetota	0-15	0.946587302128638	0.75540468303338	0.871365566709646	0.3958281179538	0.285083740680501	0.300305953110075
Planctomycetota	16-30	0.92859752422434	0.668106132298837	0.682786802193674	0.0867501470230353	0.264844206438133	0.126789742545327
Planctomycetota	31-45	0.684238070570391	0.532408601250008	0.781490200612711	0.196328213983486	0.149614229437529	0.139296553444941
Planctomycetota	50-75	0.458014859020329	0.463288930675546	0.706961946257424	0.0195511001904522	0.229545084761609	0.127927714581192
Proteobacteria	0-15	31.1715960471553	24.7604370766107	36.2401117365057	2.50077217545277	12.175164888744	3.7578789775031
Proteobacteria	16-30	24.2249988811243	13.6627950509352	31.1302735030662	1.68341197694063	6.76989429231384	7.25938940986655
Proteobacteria	31-45	23.0986552055607	21.0501407136771	25.320613238635	3.16342533148415	11.3622993743786	10.0191185650287
Proteobacteria	50-75	16.035763435772	18.3311362370541	17.4938020804497	6.95007735299261	11.0010559229798	4.07171991790255
RCP2-54	0-15	0.204556289969484	0.198041920181458	0.38812906530352	0.123755917073342	0.28931812834581	0.172502994790945
RCP2-54	16-30	0.0523767543303916	0.0598519895284123	0.224793517874206	0.0472474286742113	0.133246503006318	0.0513504798934191
RCP2-54	31-45	0.016322302508443	0.101463471018489	0.128573106850269	0.0135576002609666	0.207947553096369	0.102649333205426
RCP2-54	50-75	0.0187966597432491	0.0350799115718348	0.0373935359878058	0.00961769641794228	0.0643509855697988	0.0325558251196591
Spirochaetota	0-15	0.390258968139441	1.41967921779216	0.320787107595832	0.220301886473358	0.943733931560909	0.276627153987817
Spirochaetota	16-30	1.02073636935113	2.49595242229589	0.808670940096724	0.365175266720698	1.11031306703022	0.657935405767901
Spirochaetota	31-45	1.19180444146326	1.95483589333523	1.54091229366385	0.362265125030214	0.934169028959804	1.00973120975502
Spirochaetota	50-75	1.50143028834949	2.01227555974454	1.99771679390689	0.338269676941107	0.462779838737892	0.346349077240744
Sumerlaeota	0-15	0.268455497186298	0.221192334870401	0.315450933198689	0.18878321950578	0.0851346775636539	0.118013555893099
Sumerlaeota	16-30	0.209157818326407	0.277683677539886	0.248911340342514	0.0814720198721694	0.175772106326063	0.105801940190389
Sumerlaeota	31-45	0.157118236415615	0.264691122262815	0.244474588025183	0.0412021722296274	0.11532317996461	0.0535923595847918
Sumerlaeota	50-75	0.241220335529357	0.257814098574548	0.265837665744609	0.0357707650968929	0.164193492006558	0.0422291412442381
Sva0485	0-15	4.26606246175678	7.63245988250838	4.47903239202893	0.86872237970158	4.16694764486325	2.718874763984
Sva0485	16-30	9.11134848217495	10.9795220467524	9.63349069635299	2.02285949445682	1.17364812950943	4.43647434271325
Sva0485	31-45	9.81104129218242	8.91635187609938	11.4421218008228	1.78761190588996	1.49074879658494	4.07190467265447
Sva0485	50-75	13.5114158857629	9.92091465560472	12.4464272047364	1.48349085741453	3.33211896362915	3.81689410864678
TA06	0-15	0.0249090566009147	0.322014997848442	0.0466042898200525	0.0405115945358688	0.317592739642312	0.0353247948012966
TA06	16-30	0.102652233636584	0.749103419731114	0.176334703008558	0.0461564290136767	0.444907723527477	0.119192110610634
TA06	31-45	0.135748972931735	0.485435116753183	0.444966424498258	0.074873199025565	0.274630514236057	0.250305549290684
TA06	50-75	0.321963103677911	0.477892231958147	0.595709960326505	0.219702438940135	0.272784482538405	0.235418723067232
Thermoplasmatota	0-15	0.00325834086427728	0.149557870927471	0.0112846649459555	0.00364648828816475	0.142891541405214	0.010709481189759
Thermoplasmatota	16-30	0.0722257663357962	0.298690302787636	0.0982424548439136	0.0431624943149333	0.174719895462871	0.105282037657538
Thermoplasmatota	31-45	0.117221744104233	0.138964435359491	0.210745875982748	0.0492782711056817	0.0445515255168184	0.118499374965983
Thermoplasmatota	50-75	0.232472036355044	0.149534819796677	0.234356305972871	0.161002136693984	0.0834929845299856	0.0120398721477587
