dataset	group	mode	removal_fraction	n_boot	mean_largest_component_prop	median_largest_component_prop	q25	q75	q025	q975	dataset_label	group_label	mode_label
depth_natural	Interior_relict	random	0.5	500	0.12068571428571429	0.11428571428571428	0.07142857142857142	0.15714285714285714	0.04285714285714286	0.24285714285714283	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.55	500	0.10291428571428572	0.08571428571428572	0.07142857142857142	0.12857142857142856	0.04285714285714286	0.221785714285714	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.6000000000000001	500	0.08162857142857143	0.07142857142857144	0.05714285714285714	0.1	0.02857142857142857	0.17142857142857143	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.65	500	0.06905714285714286	0.05714285714285715	0.04285714285714286	0.08571428571428572	0.02857142857142857	0.15714285714285714	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.7000000000000001	500	0.05294285714285714	0.04285714285714285	0.02857142857142856	0.05714285714285713	0.01428571428571428	0.12178571428571394	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.75	500	0.04434285714285713	0.04285714285714285	0.02857142857142856	0.05714285714285713	0.01428571428571428	0.1	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.8	500	0.03328571428571428	0.02857142857142857	0.02857142857142857	0.04285714285714286	0.01428571428571428	0.07142857142857144	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.8500000000000001	500	0.02608571428571428	0.02857142857142857	0.01428571428571428	0.02857142857142857	0.01428571428571428	0.05714285714285714	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	random	0.9	500	0.01911428571428571	0.01428571428571428	0.01428571428571428	0.02857142857142857	0.01428571428571428	0.04285714285714286	Interior vs coastal natural	Interior relict	Random removal
depth_natural	Interior_relict	targeted	0	500	0.5126571428571428	0.5142857142857142	0.4857142857142857	0.5428571428571428	0.42857142857142855	0.5857142857142857	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.05	500	0.29291428571428574	0.30000000000000004	0.24285714285714288	0.3571428571428572	0.14285714285714285	0.4285714285714286	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.1	500	0.10908571428571429	0.1	0.07142857142857142	0.12857142857142856	0.05714285714285714	0.21428571428571427	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.15000000000000002	500	0.06465714285714286	0.05714285714285714	0.04285714285714286	0.07142857142857142	0.02857142857142857	0.12857142857142856	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.2	500	0.04188571428571428	0.04285714285714286	0.02857142857142857	0.04285714285714286	0.02857142857142857	0.07142857142857144	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.25	500	0.03431428571428571	0.02857142857142857	0.02857142857142857	0.04285714285714286	0.01428571428571428	0.05714285714285714	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.30000000000000004	500	0.02739999999999999	0.02857142857142856	0.02857142857142856	0.02857142857142856	0.01428571428571428	0.04285714285714285	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.35000000000000003	500	0.02245714285714285	0.02857142857142857	0.01428571428571428	0.02857142857142857	0.01428571428571428	0.03607142857142824	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.4	500	0.01925714285714285	0.01428571428571428	0.01428571428571428	0.02857142857142856	0.01428571428571428	0.02857142857142856	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.45	500	0.01725714285714285	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.02857142857142857	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.5	500	0.01522857142857142	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.02857142857142857	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.55	500	0.01454285714285714	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.6000000000000001	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.65	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Interior relict	Targeted removal
