dataset	dataset_label	group	group_label	bootstrap_id	metric	value	metric_label
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	8	transitivity	0.15217391304347827	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	8	largest_component_prop	0.3142857142857143	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	8	natural_connectivity	0.8185626580267757	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	8	robustness_auc_random	0.13785714285714287	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	8	robustness_auc_targeted	0.0425	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	8	transitivity	0.2727272727272727	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	9	largest_component_prop	0.4428571428571429	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	9	natural_connectivity	0.9423804845289444	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	9	robustness_auc_random	0.125	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	9	robustness_auc_targeted	0.05214285714285714	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	9	transitivity	0.217741935483871	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	9	largest_component_prop	0.3	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	9	natural_connectivity	1.0986406638835655	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	9	robustness_auc_random	0.09642857142857145	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	9	robustness_auc_targeted	0.03642857142857143	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	9	transitivity	0.3884892086330935	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	10	largest_component_prop	0.4714285714285714	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	10	natural_connectivity	0.8519156945398882	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	10	robustness_auc_random	0.2	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	10	robustness_auc_targeted	0.04642857142857143	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	10	transitivity	0.12396694214876032	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	10	largest_component_prop	0.4857142857142857	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	10	natural_connectivity	0.9586848746443444	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	10	robustness_auc_random	0.1935714285714286	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	10	robustness_auc_targeted	0.05178571428571429	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	10	transitivity	0.30000000000000004	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	11	largest_component_prop	0.5571428571428572	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	11	natural_connectivity	0.8529191899290605	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	11	robustness_auc_random	0.16642857142857145	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	11	robustness_auc_targeted	0.04642857142857143	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	11	transitivity	0.12195121951219512	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	11	largest_component_prop	0.4714285714285714	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	11	natural_connectivity	0.8145853840783013	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	11	robustness_auc_random	0.17357142857142857	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	11	robustness_auc_targeted	0.04285714285714286	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	11	transitivity	0.24742268041237112	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	12	largest_component_prop	0.4857142857142857	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	12	natural_connectivity	0.9997031187327998	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	12	robustness_auc_random	0.12571428571428572	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	12	robustness_auc_targeted	0.04249999999999999	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	12	transitivity	0.2462686567164179	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	12	largest_component_prop	0.2857142857142857	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	12	natural_connectivity	1.2172794531381252	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	12	robustness_auc_random	0.13964285714285715	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	12	robustness_auc_targeted	0.0375	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	12	transitivity	0.46621621621621623	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	13	largest_component_prop	0.5	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	13	natural_connectivity	0.8065575210944238	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	13	robustness_auc_random	0.15214285714285714	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	13	robustness_auc_targeted	0.05142857142857143	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	13	transitivity	0.07627118644067797	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	13	largest_component_prop	0.34285714285714286	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	13	natural_connectivity	0.8264916067268064	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	13	robustness_auc_random	0.10892857142857144	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	13	robustness_auc_targeted	0.03964285714285714	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	13	transitivity	0.36585365853658536	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	14	largest_component_prop	0.45714285714285713	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	14	natural_connectivity	0.8087845111155283	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	14	robustness_auc_random	0.1275	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	14	robustness_auc_targeted	0.04750000000000001	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	14	transitivity	0.18556701030927836	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	14	largest_component_prop	0.18571428571428572	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	14	natural_connectivity	0.9349888778996478	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	14	robustness_auc_random	0.08785714285714286	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	14	robustness_auc_targeted	0.03714285714285714	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	14	transitivity	0.375	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	15	largest_component_prop	0.5428571428571428	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	15	natural_connectivity	0.7920783948342458	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	15	robustness_auc_random	0.18678571428571428	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	15	robustness_auc_targeted	0.06535714285714286	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	15	transitivity	0.11650485436893204	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	15	largest_component_prop	0.21428571428571427	Largest component
