dataset	count_matrix	matrix_file	matrix_name	lookup_source_path	lookup_source_label	matrix_taxon	matrix_taxon_clean	source_path	source_label	phylum	class	order	family	genus	species	genus_clean	family_clean	genus_missing	family_missing	lookup_type	taxon_id_clean	species_clean	match_mode	taxon_id
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ811807.1.1529	DQ811807.1.1529	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatitalea	uncultured_delta	Desulfatitalea	Desulfosarcinaceae	FALSE	FALSE	phyloseq	NA	uncultured_delta	clean_taxon_id	DQ811807.1.1529
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ811808.1.1527	DQ811808.1.1527	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	MBNT15	MBNT15	MBNT15	MBNT15	MBNT15	uncultured_Syntrophobacteraceae	MBNT15	MBNT15	FALSE	FALSE	phyloseq	NA	uncultured_Syntrophobacteraceae	clean_taxon_id	DQ811808.1.1527
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ811819.1.1523	DQ811819.1.1523	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Desulfobacterota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca	uncultured_delta	Desulfobacca	Desulfobaccaceae	FALSE	FALSE	phyloseq	NA	uncultured_delta	clean_taxon_id	DQ811819.1.1523
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ811831.1.1528	DQ811831.1.1528	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	NA	Desulfatiglans	Desulfatiglandaceae	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	DQ811831.1.1528
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ811880.1.1473	DQ811880.1.1473	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Chloroflexi	Anaerolineae	SBR1031	SBR1031	SBR1031	NA	SBR1031	SBR1031	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	DQ811880.1.1473
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	DQ811935.1.1507	DQ811935.1.1507	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix	uncultured_bacterium	Calorithrix	Calditrichaceae	FALSE	FALSE	phyloseq	NA	uncultured_bacterium	clean_taxon_id	DQ811935.1.1507
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	EF125426.1.1479	EF125426.1.1479	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	uncultured_bacterium	Kineosporia	Kineosporiaceae	FALSE	FALSE	phyloseq	NA	uncultured_bacterium	clean_taxon_id	EF125426.1.1479
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	EF208655.1.1533	EF208655.1.1533	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Sva0485	Sva0485	Sva0485	Sva0485	Sva0485	NA	Sva0485	Sva0485	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	EF208655.1.1533
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	EF444653.1.1279	EF444653.1.1279	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae	NA	Nitrosopumilaceae	Nitrosopumilaceae	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	EF444653.1.1279
depth_natural	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/results/01_prepare_network_matrices_20260619_180455/matrices/depth_natural_counts_common_top200.tsv	depth_natural_counts_common_top200.tsv	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	EF687551.1.1333	EF687551.1.1333	/home/fjbalvino/Compare_mangroves/physeq_objeto_Estero.rds	physeq_objeto_Estero.rds	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	NA	Lokiarchaeia	Lokiarchaeia	FALSE	FALSE	phyloseq	NA	NA	clean_taxon_id	EF687551.1.1333
